old,new
http://www.adventurecorps.com/chronicles/2004cirque01/index.htm,https://web.archive.org/web/20040604152837/https://www.adventurecorps.com/chronicles/2004cirque01/index.htm
http://www.adventurecorps.com/chronicles/2004cirque02/index.htm,https://web.archive.org/web/20040611021633/https://www.adventurecorps.com/chronicles/2004cirque02/index.htm
http://www.adventurecorps.com/chronicles/2004cirque03/index.htm,https://web.archive.org/web/20040623151211/https://www.adventurecorps.com/chronicles/2004cirque03/index.htm
"http://spokepost.com/news/?articleID=1666","https://web.archive.org/web/20140304024410/http://spokepost.com/news/?articleID=1666"
#,# Misc Wayback machine hits
"http://batesbicycles.com/","http://hometown.aol.co.uk/reclassicbikes/Bates_Cantiflex_Home.html"
"http://www.channel4.com/culture/microsites/0-9/3MWbicycle/phil_parkin.html","https://web.archive.org/web/20160306030808/http://www.channel4.com/culture/microsites/0-9/3MWbicycle/phil_parkin.html"
"http://www.velonews.com/tech/report/articles/7322.0.html","https://web.archive.org/web/20071127105212/http://www.velonews.com/tech/report/articles/7322.0.html"
"http://www.moots.com/messages/1040.shtml","https://web.archive.org/web/20060322110732/https://moots.com/messages/1040.shtml"
"http://traylorfwd.home.mindspring.com/geometry_def.html","https://web.archive.org/web/20061230185445/http://traylorfwd.home.mindspring.com/geometry_def.html"
"http://www.velonews.com/media/Block40.pdf","https://web.archive.org/web/20061027074716/http://www.velonews.com/media/Block40.pdf"
"http://www.velostuf.com/dscn2618.jpg","https://web.archive.org/web/20041209062735/https://www.velostuf.com/dscn2618.jpg"
"http://www.velostuf.com/dscn2585.jpg","https://web.archive.org/web/20041209101927/https://www.velostuf.com/dscn2585.jpg"
"http://www.velostuf.com/Masi%20GC.htm","https://web.archive.org/web/20060319104224/http://www.velostuf.com/Masi%20GC.htm"
"http://www.falckacciai.it/eng/frames/frame-01.htm","https://web.archive.org/web/20040417051005/http://www.falckacciai.it/eng/frames/frame-01.htm"
"http://www.tandemtours.com/About_Us/People/Leaders/leaders.html","https://web.archive.org/web/20020929152518/http://www.tandemtours.com/About_Us/People/Leaders/leaders.html"
"http://www.tandemtours.com/index.html","https://web.archive.org/web/20021229023237/http://www.tandemtours.com/index.html"
"http://www.tandemtours.com/What_s_New_/News/news.html","https://web.archive.org/web/20020913072117/http://tandemtours.com/What_s_New_/News/news.html"
#,# Rich Pinder
"http://tinyurl.com/6zuhk85","https://web.archive.org/web/20100725052810/http://www-hsc.usc.edu/~rpinder/sequoia.html"
"http://tinyurl.com/4bgmvaa","https://web.archive.org/web/20160421114944/http://www-hsc.usc.edu/~rpinder/Mondia.html"
"http://tinyurl.com/2uhslq","https://web.archive.org/web/20160422144833/http://www-hsc.usc.edu/~rpinder/Windsor.html"
#,# from jamie swan
http://centerportcycles.com/pages/Thumbnail%20Pages/L'Eroica/L'Eroica.html,http://jamieswan.net/pages/Thumbnail%20Pages/L'Eroica/L'Eroica.html
http://centerportcycles.com/,https://jamieswan.net/
http://www.centerportcycles.com/,https://www.jamieswan.net/
#,# from david white
"http://www.wooljersey.com/gallery/David-G-Whites-Bikes/1963Cinelli","https://www.flickr.com/photos/30790111@N07/albums/72157629150592917"
"http://www.wooljersey.com/gallery/David-G-Whites-Bikes/1975-Masi-Gran-Criterium","https://www.flickr.com/photos/30790111@N07/albums/72157629151576157"
